date,keyword,country_code,interest_score,z_score
2020-05-01,tarjeta virtual,PE,30,-0.836950115426384
2020-06-01,Plin,CL,50,0.119930794221595
2020-06-01,Yape,CL,18,-0.778652948460475
2020-06-01,criptomonedas,CL,18,-0.703376479884259
2020-06-01,fintech,CL,31,-0.973887187105992
2020-06-01,tarjeta virtual,CL,87,2.70312993801216
2020-06-01,Plin,CO,62,0.444352013848935
2020-06-01,Yape,CO,11,-0.922536217253727
2020-06-01,billetera digital,CO,10,-1.04396026350134
2020-06-01,criptomonedas,CO,16,-0.726345541829365
2020-06-01,fintech,CO,47,-0.708291454740875
2020-06-01,Plin,MX,38,-0.154380877628048
2020-06-01,Yape,MX,17,-0.865131431949953
2020-06-01,billetera digital,MX,67,0.436775797877604
2020-06-01,criptomonedas,MX,18,-0.915943771786962
2020-06-01,fintech,MX,76,0.386133156692148
2020-06-01,pagos digitales,MX,37,-0.598654727097868
2020-06-01,tarjeta virtual,MX,61,-0.516574707122022
2020-06-01,Plin,PE,33,-0.222055800108482
2020-06-01,Yape,PE,32,-0.479734870708113
2020-06-01,criptomonedas,PE,19,-0.882313916975182
2020-06-01,fintech,PE,68,-0.0803991759627795
2020-06-01,pagos digitales,PE,38,-0.956651028419192
2020-06-01,tarjeta virtual,PE,33,-0.716679724823773
2020-07-01,Plin,CL,50,0.119930794221595
2020-07-01,Yape,CL,13,-1.01574278853658
2020-07-01,criptomonedas,CL,21,-0.564351706333129
2020-07-01,fintech,CL,35,-0.773623061306732
2020-07-01,tarjeta virtual,CL,89,2.82833836788201
2020-07-01,Plin,CO,66,0.617584040609802
2020-07-01,Yape,CO,12,-0.878388444480859
2020-07-01,criptomonedas,CO,18,-0.621969115542862
2020-07-01,fintech,CO,48,-0.62608910784726
2020-07-01,Plin,MX,52,0.492247224568121
2020-07-01,criptomonedas,MX,21,-0.768449885006562
2020-07-01,fintech,MX,69,-0.166567244063279
2020-07-01,pagos digitales,MX,33,-0.816890907263384
2020-07-01,tarjeta virtual,MX,59,-0.629817811085708
2020-07-01,Plin,PE,31,-0.3240059473281
2020-07-01,Yape,PE,30,-0.548134569070794
2020-07-01,criptomonedas,PE,22,-0.735819036143063
2020-07-01,fintech,PE,65,-0.312075748802894
